Timestamp,Src Port,Dst Port,Src Country,Dst Country,Protocol,Src IP,Dst IP,Flow Duration,Flow Byts/s,Flow Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Pkt Size Avg,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Fwd Pkts/s,Bwd Pkts/s,Down/Up Ratio,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Seg Size Min,Fwd Header Len,Bwd Header Len,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Prediction
2025-05-26 18:04:12,62125,443,Local Network,"US, Mountain View",UDP,192.168.0.105,216.239.38.180,1e-06,71000000.0,1000000.0,1,0,71,0,71,71,71.0,0.0,0,0,0,0,71,71,71.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,71.0,1000000.0,1000000.0,0,0,0,71.0,0,71,0,0,1,71,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,443,62010,"IN, Mumbai",Local Network,UDP,142.250.192.42,192.168.0.105,1e-06,183000000.0,1000000.0,1,0,183,0,183,183,183.0,0.0,0,0,0,0,183,183,183.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,183.0,1000000.0,1000000.0,0,0,0,183.0,0,183,0,0,1,183,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,443,62125,"US, Mountain View",Local Network,UDP,216.239.38.180,192.168.0.105,1e-06,69000000.0,1000000.0,1,0,69,0,69,69,69.0,0.0,0,0,0,0,69,69,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,69.0,1000000.0,1000000.0,0,0,0,69.0,0,69,0,0,1,69,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,62010,443,Local Network,"IN, Mumbai",UDP,192.168.0.105,142.250.192.42,1e-06,77000000.0,1000000.0,1,0,77,0,77,77,77.0,0.0,0,0,0,0,77,77,77.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,77.0,1000000.0,1000000.0,0,0,0,77.0,0,77,0,0,1,77,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,64891,53,Local Network,Local Network,UDP,192.168.0.105,192.168.0.1,1e-06,70000000.0,1000000.0,1,0,70,0,70,70,70.0,0.0,0,0,0,0,70,70,70.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,70.0,1000000.0,1000000.0,0,0,0,70.0,0,70,0,0,1,70,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,53,64891,Local Network,Local Network,UDP,192.168.0.1,192.168.0.105,1e-06,86000000.0,1000000.0,1,0,86,0,86,86,86.0,0.0,0,0,0,0,86,86,86.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,86.0,1000000.0,1000000.0,0,0,0,86.0,0,86,0,0,1,86,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,51124,80,Local Network,"US, Ashburn",TCP,192.168.0.105,208.95.112.1,1e-06,66000000.0,1000000.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,66,66,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000000.0,0.0,0.0,66.0,1000000.0,1000000.0,0,0,0,66.0,0,66,0,0,1,66,0,0,65535,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,443,50626,"CA, Toronto",Local Network,TCP,104.18.19.125,192.168.0.105,1e-06,135000000.0,1000000.0,1,0,135,0,135,135,135.0,0.0,0,0,0,0,135,135,135.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1000000.0,0.0,0.0,135.0,1000000.0,1000000.0,0,0,0,135.0,0,135,81,0,1,135,0,0,9,0,1,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,50626,443,Local Network,"CA, Toronto",TCP,192.168.0.105,104.18.19.125,1e-06,54000000.0,1000000.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,54,54,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000000.0,0.0,0.0,54.0,1000000.0,1000000.0,0,0,0,54.0,0,54,0,0,1,54,0,0,252,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,62010,443,Local Network,"IN, Mumbai",UDP,192.168.0.105,142.250.192.42,1e-06,71000000.0,1000000.0,1,0,71,0,71,71,71.0,0.0,0,0,0,0,71,71,71.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,71.0,1000000.0,1000000.0,0,0,0,71.0,0,71,0,0,1,71,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,62125,443,Local Network,"US, Mountain View",UDP,192.168.0.105,216.239.38.180,1e-06,71000000.0,1000000.0,1,0,71,0,71,71,71.0,0.0,0,0,0,0,71,71,71.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,71.0,1000000.0,1000000.0,0,0,0,71.0,0,71,0,0,1,71,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,443,62010,"IN, Mumbai",Local Network,UDP,142.250.192.42,192.168.0.105,1e-06,67000000.0,1000000.0,1,0,67,0,67,67,67.0,0.0,0,0,0,0,67,67,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,67.0,1000000.0,1000000.0,0,0,0,67.0,0,67,0,0,1,67,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
2025-05-26 18:04:12,443,62125,"US, Mountain View",Local Network,UDP,216.239.38.180,192.168.0.105,0.024177074432373047,158910.8728083151,165.44598938918801,4,0,3842,0,1292,69,960.5,596.0919951372159,0,0,0,0,69,1292,960.5,596.0919951372159,355325.6666666667,960.5,0.008059024810791016,0.011397182186921921,0.024177074432373047,0.0,0.024177074432373047,0.008059024810791016,0.011397182186921921,0.024177074432373047,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.44598938918801,0.0,0.0,960.5,165.44598938918801,165.44598938918801,0,0,0,960.5,0,69,0,0,4,3842,0,0,0,0,0,0.024177074432373047,0,0.024177074432373047,0.024177074432373047,0,0,0,0,Benign
2025-05-26 18:04:12,62125,443,Local Network,"US, Mountain View",UDP,192.168.0.105,216.239.38.180,0.006400108337402344,36405.63373565787,468.74206526598124,3,0,233,0,80,76,77.66666666666667,2.0816659994661326,0,0,0,0,76,80,77.66666666666667,2.0816659994661326,4.333333333333333,77.66666666666667,0.003200054168701172,0.003100156784057617,0.006300210952758789,9.989738464355469e-05,0.006400108337402344,0.003200054168701172,0.003100156784057617,0.006300210952758789,9.989738464355469e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.74206526598124,0.0,0.0,77.66666666666667,468.74206526598124,468.74206526598124,0,0,0,77.66666666666667,0,76,0,0,3,233,0,0,0,0,0,0.006400108337402344,0,0.006400108337402344,0.006400108337402344,0,0,0,0,Benign
2025-05-26 18:04:12,443,62125,"US, Mountain View",Local Network,UDP,216.239.38.180,192.168.0.105,0.010439872741699219,424047.31451539235,478.93304101580344,5,0,4427,0,1292,68,885.4,574.0207313329371,0,0,0,0,68,1292,885.4,574.0207313329371,329499.8,885.4,0.0026099681854248047,0.00452059750329411,0.010439872741699219,0.0,0.010439872741699219,0.0026099681854248047,0.00452059750329411,0.010439872741699219,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.93304101580344,0.0,0.0,885.4,478.93304101580344,478.93304101580344,0,0,0,885.4,0,68,0,0,5,4427,0,0,0,0,0,0.010439872741699219,0,0.010439872741699219,0.010439872741699219,0,0,0,0,Benign
2025-05-26 18:04:12,62125,443,Local Network,"US, Mountain View",UDP,192.168.0.105,216.239.38.180,1e-06,74000000.0,1000000.0,1,0,74,0,74,74,74.0,0.0,0,0,0,0,74,74,74.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,0.0,74.0,1000000.0,1000000.0,0,0,0,74.0,0,74,0,0,1,74,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,Benign
